rank,district,risk_score,risk_level
1,Kanniyakumari,41.42,MEDIUM
2,Cuddalore,38.34,LOW
3,Thanjavur,38.15,LOW
4,Pudukkottai,37.86,LOW
5,Tiruvarur,37.68,LOW
6,Theni,37.51,LOW
7,Tuticorin,36.29,LOW
8,Virudhunagar,36.21,LOW
9,Tenkasi,35.94,LOW
10,Vellore,35.57,LOW
11,Villupuram,35.57,LOW
12,Tiruvannamalai,35.32,LOW
13,Perambalur,35.29,LOW
14,Kallakurichi,35.22,LOW
15,Madurai,35.09,LOW
16,Kanchipuram,34.92,LOW
17,Salem,34.84,LOW
18,Thiruvallur,34.67,LOW
19,Ranipet,34.65,LOW
20,Tiruppur,34.63,LOW
21,Ramanathapuram,34.5,LOW
22,Tirupathur,33.94,LOW
23,Karur,33.87,LOW
24,Tiruchirappalli,33.67,LOW
25,Chengalpattu,33.45,LOW
26,The Nilgiris,33.31,LOW
27,Ariyalur,33.2,LOW
28,Dharmapuri,33.06,LOW
29,Namakkal,33.01,LOW
30,Dindigul,32.83,LOW
31,Mayiladuthurai,32.76,LOW
32,Sivaganga,32.55,LOW
33,Chennai,32.45,LOW
34,Nagapattinam,32.1,LOW
35,Coimbatore,32.05,LOW
36,Krishnagiri,31.93,LOW
37,Tirunelveli,31.67,LOW
38,Erode,29.53,LOW
