date,year,month,fortnight,district,state,aedes_larval_index,house_index,container_index,risk_level
2015-01-01,2015,1,1,Ariyalur,Tamil Nadu,2.85,2.52,1.77,Low
2015-01-15,2015,1,1,Ariyalur,Tamil Nadu,3.12,2.02,1.39,Low
2015-01-29,2015,1,2,Ariyalur,Tamil Nadu,2.68,2.3,1.56,Low
2015-02-12,2015,2,1,Ariyalur,Tamil Nadu,3.37,2.04,2.33,Low
2015-02-26,2015,2,2,Ariyalur,Tamil Nadu,3.4,2.26,1.55,Low
2015-03-12,2015,3,1,Ariyalur,Tamil Nadu,2.62,1.81,1.46,Low
2015-03-26,2015,3,2,Ariyalur,Tamil Nadu,2.93,2.01,1.71,Low
2015-04-09,2015,4,1,Ariyalur,Tamil Nadu,3.44,2.37,1.75,Low
2015-04-23,2015,4,2,Ariyalur,Tamil Nadu,3.98,3.33,1.83,Low
2015-05-07,2015,5,1,Ariyalur,Tamil Nadu,5.95,4.63,2.46,Low
2015-05-21,2015,5,2,Ariyalur,Tamil Nadu,5.98,3.89,2.51,Low
2015-06-04,2015,6,1,Ariyalur,Tamil Nadu,13.45,11.97,8.64,Medium
2015-06-18,2015,6,2,Ariyalur,Tamil Nadu,10.36,6.52,6.27,Medium
2015-07-02,2015,7,1,Ariyalur,Tamil Nadu,11.54,7.35,6.33,Medium
2015-07-16,2015,7,2,Ariyalur,Tamil Nadu,7.23,6.31,3.45,Low
2015-07-30,2015,7,2,Ariyalur,Tamil Nadu,9.41,6.53,5.23,Medium
2015-08-13,2015,8,1,Ariyalur,Tamil Nadu,21.93,14.37,15.15,High
2015-08-27,2015,8,2,Ariyalur,Tamil Nadu,15.89,14.01,10.62,High
2015-09-10,2015,9,1,Ariyalur,Tamil Nadu,18.62,16.32,7.94,High
2015-09-24,2015,9,2,Ariyalur,Tamil Nadu,13.7,8.41,6.82,Medium
2015-10-08,2015,10,1,Ariyalur,Tamil Nadu,20.0,13.63,12.97,High
2015-10-22,2015,10,2,Ariyalur,Tamil Nadu,34.61,23.68,19.48,High
2015-11-05,2015,11,1,Ariyalur,Tamil Nadu,20.89,17.56,8.82,High
2015-11-19,2015,11,2,Ariyalur,Tamil Nadu,34.7,28.86,15.95,High
2015-12-03,2015,12,1,Ariyalur,Tamil Nadu,43.32,36.59,26.51,High
2015-12-17,2015,12,2,Ariyalur,Tamil Nadu,58.95,49.01,24.89,High
2015-12-31,2015,12,2,Ariyalur,Tamil Nadu,45.06,28.6,29.69,High
2016-01-14,2016,1,1,Ariyalur,Tamil Nadu,3.16,2.21,1.32,Low
2016-01-28,2016,1,2,Ariyalur,Tamil Nadu,2.77,1.93,1.71,Low
2016-02-11,2016,2,1,Ariyalur,Tamil Nadu,3.17,2.75,1.72,Low
2016-02-25,2016,2,2,Ariyalur,Tamil Nadu,2.54,2.07,1.6,Low
2016-03-10,2016,3,1,Ariyalur,Tamil Nadu,3.07,2.55,1.68,Low
2016-03-24,2016,3,2,Ariyalur,Tamil Nadu,3.03,2.21,1.24,Low
2016-04-07,2016,4,1,Ariyalur,Tamil Nadu,3.37,2.05,1.99,Low
2016-04-21,2016,4,2,Ariyalur,Tamil Nadu,3.7,2.78,2.49,Low
2016-05-05,2016,5,1,Ariyalur,Tamil Nadu,3.6,2.6,2.26,Low
2016-05-19,2016,5,2,Ariyalur,Tamil Nadu,3.57,2.22,1.74,Low
2016-06-02,2016,6,1,Ariyalur,Tamil Nadu,12.29,10.8,7.9,Medium
2016-06-16,2016,6,2,Ariyalur,Tamil Nadu,11.95,10.29,7.66,Medium
2016-06-30,2016,6,2,Ariyalur,Tamil Nadu,9.15,7.94,5.14,Medium
2016-07-14,2016,7,1,Ariyalur,Tamil Nadu,11.44,9.94,5.67,Medium
2016-07-28,2016,7,2,Ariyalur,Tamil Nadu,6.8,4.54,3.59,Low
2016-08-11,2016,8,1,Ariyalur,Tamil Nadu,24.03,20.62,9.66,High
2016-08-25,2016,8,2,Ariyalur,Tamil Nadu,17.86,12.95,8.33,High
2016-09-08,2016,9,1,Ariyalur,Tamil Nadu,13.08,9.17,8.93,Medium
2016-09-22,2016,9,2,Ariyalur,Tamil Nadu,22.0,16.62,13.44,High
2016-10-06,2016,10,1,Ariyalur,Tamil Nadu,18.14,16.17,12.49,High
2016-10-20,2016,10,2,Ariyalur,Tamil Nadu,23.08,17.29,11.32,High
2016-11-03,2016,11,1,Ariyalur,Tamil Nadu,19.03,11.63,11.09,High
2016-11-17,2016,11,2,Ariyalur,Tamil Nadu,29.86,18.38,14.44,High
2016-12-01,2016,12,1,Ariyalur,Tamil Nadu,24.73,16.62,10.97,High
2016-12-15,2016,12,1,Ariyalur,Tamil Nadu,18.91,16.94,8.94,High
2016-12-29,2016,12,2,Ariyalur,Tamil Nadu,24.59,20.37,11.59,High
2017-01-12,2017,1,1,Ariyalur,Tamil Nadu,3.61,2.56,2.13,Low
2017-01-26,2017,1,2,Ariyalur,Tamil Nadu,3.31,2.52,1.41,Low
2017-02-09,2017,2,1,Ariyalur,Tamil Nadu,4.43,3.08,2.02,Low
2017-02-23,2017,2,2,Ariyalur,Tamil Nadu,4.09,3.18,2.47,Low
2017-03-09,2017,3,1,Ariyalur,Tamil Nadu,2.42,1.82,1.13,Low
2017-03-23,2017,3,2,Ariyalur,Tamil Nadu,3.48,2.27,2.11,Low
2017-04-06,2017,4,1,Ariyalur,Tamil Nadu,4.6,4.05,2.03,Low
2017-04-20,2017,4,2,Ariyalur,Tamil Nadu,3.75,2.38,2.54,Low
2017-05-04,2017,5,1,Ariyalur,Tamil Nadu,4.6,3.12,2.75,Low
2017-05-18,2017,5,2,Ariyalur,Tamil Nadu,4.6,3.53,2.57,Low
2017-06-01,2017,6,1,Ariyalur,Tamil Nadu,8.82,5.54,5.9,Medium
2017-06-15,2017,6,1,Ariyalur,Tamil Nadu,10.87,8.59,5.45,Medium
2017-06-29,2017,6,2,Ariyalur,Tamil Nadu,11.11,9.09,7.43,Medium
2017-07-13,2017,7,1,Ariyalur,Tamil Nadu,14.3,11.93,8.47,Medium
2017-07-27,2017,7,2,Ariyalur,Tamil Nadu,9.25,6.0,6.19,Medium
2017-08-10,2017,8,1,Ariyalur,Tamil Nadu,12.6,7.59,5.42,Medium
2017-08-24,2017,8,2,Ariyalur,Tamil Nadu,30.27,18.21,13.57,High
2017-09-07,2017,9,1,Ariyalur,Tamil Nadu,29.17,23.56,17.37,High
2017-09-21,2017,9,2,Ariyalur,Tamil Nadu,17.0,13.83,8.01,High
2017-10-05,2017,10,1,Ariyalur,Tamil Nadu,23.98,19.76,14.27,High
2017-10-19,2017,10,2,Ariyalur,Tamil Nadu,42.33,33.75,24.15,High
2017-11-02,2017,11,1,Ariyalur,Tamil Nadu,27.08,19.24,12.99,High
2017-11-16,2017,11,2,Ariyalur,Tamil Nadu,26.97,24.05,13.97,High
2017-11-30,2017,11,2,Ariyalur,Tamil Nadu,47.45,37.45,30.29,High
2017-12-14,2017,12,1,Ariyalur,Tamil Nadu,30.34,23.45,16.62,High
2017-12-28,2017,12,2,Ariyalur,Tamil Nadu,40.9,33.4,19.81,High
2018-01-11,2018,1,1,Ariyalur,Tamil Nadu,2.57,2.04,1.16,Low
2018-01-25,2018,1,2,Ariyalur,Tamil Nadu,4.41,3.91,2.97,Low
2018-02-08,2018,2,1,Ariyalur,Tamil Nadu,3.32,2.01,2.25,Low
2018-02-22,2018,2,2,Ariyalur,Tamil Nadu,2.98,2.65,2.05,Low
2018-03-08,2018,3,1,Ariyalur,Tamil Nadu,3.5,2.41,1.8,Low
2018-03-22,2018,3,2,Ariyalur,Tamil Nadu,3.42,2.38,1.54,Low
