week_start_date,year,month,week_number,district,state,total_bed_capacity,total_occupied_beds,dengue_beds_occupied,heat_stroke_beds_occupied,gastroenteritis_beds_occupied,respiratory_beds_occupied,occupancy_rate_pct
2015-01-05,2015,1,2,Ariyalur,Tamil Nadu,333,293,21,5,11,61,95.4
2015-01-12,2015,1,3,Ariyalur,Tamil Nadu,333,275,12,12,14,45,78.0
2015-01-19,2015,1,4,Ariyalur,Tamil Nadu,333,307,9,12,7,38,87.9
2015-01-26,2015,1,5,Ariyalur,Tamil Nadu,333,292,22,10,17,39,85.4
2015-02-02,2015,2,6,Ariyalur,Tamil Nadu,333,235,21,7,13,20,73.7
2015-02-09,2015,2,7,Ariyalur,Tamil Nadu,333,199,7,4,10,15,63.2
2015-02-16,2015,2,8,Ariyalur,Tamil Nadu,333,303,17,5,16,19,84.3
2015-02-23,2015,2,9,Ariyalur,Tamil Nadu,333,234,25,11,14,10,69.8
2015-03-02,2015,3,10,Ariyalur,Tamil Nadu,333,268,10,13,19,24,82.0
2015-03-09,2015,3,11,Ariyalur,Tamil Nadu,333,232,10,9,8,25,71.7
2015-03-16,2015,3,12,Ariyalur,Tamil Nadu,333,261,17,10,19,13,79.2
2015-03-23,2015,3,13,Ariyalur,Tamil Nadu,333,256,8,7,12,19,74.8
2015-03-30,2015,3,14,Ariyalur,Tamil Nadu,333,283,21,5,10,17,86.8
2015-04-06,2015,4,15,Ariyalur,Tamil Nadu,333,319,16,58,8,25,93.2
2015-04-13,2015,4,16,Ariyalur,Tamil Nadu,333,287,13,56,7,10,88.5
2015-04-20,2015,4,17,Ariyalur,Tamil Nadu,333,296,16,37,9,26,92.5
2015-04-27,2015,4,18,Ariyalur,Tamil Nadu,333,256,17,50,19,16,81.5
2015-05-04,2015,5,19,Ariyalur,Tamil Nadu,333,269,19,32,16,18,80.0
2015-05-11,2015,5,20,Ariyalur,Tamil Nadu,333,298,23,38,13,13,83.4
2015-05-18,2015,5,21,Ariyalur,Tamil Nadu,333,337,25,57,9,19,98.2
2015-05-25,2015,5,22,Ariyalur,Tamil Nadu,333,244,14,37,10,19,79.0
2015-06-01,2015,6,23,Ariyalur,Tamil Nadu,333,324,18,9,45,22,90.5
2015-06-08,2015,6,24,Ariyalur,Tamil Nadu,333,267,20,11,46,21,84.2
2015-06-15,2015,6,25,Ariyalur,Tamil Nadu,333,338,13,5,48,21,95.4
2015-06-22,2015,6,26,Ariyalur,Tamil Nadu,333,269,16,3,42,14,81.1
2015-06-29,2015,6,27,Ariyalur,Tamil Nadu,333,261,6,6,34,19,76.3
2015-07-06,2015,7,28,Ariyalur,Tamil Nadu,333,296,22,9,43,19,93.9
2015-07-13,2015,7,29,Ariyalur,Tamil Nadu,333,274,18,13,34,10,78.2
2015-07-20,2015,7,30,Ariyalur,Tamil Nadu,333,279,17,6,47,11,84.0
2015-07-27,2015,7,31,Ariyalur,Tamil Nadu,333,283,19,7,30,22,91.3
2015-08-03,2015,8,32,Ariyalur,Tamil Nadu,333,228,10,6,13,13,69.4
2015-08-10,2015,8,33,Ariyalur,Tamil Nadu,333,243,13,8,17,22,76.7
2015-08-17,2015,8,34,Ariyalur,Tamil Nadu,333,222,7,13,10,13,68.0
2015-08-24,2015,8,35,Ariyalur,Tamil Nadu,333,246,19,6,18,19,76.0
2015-08-31,2015,8,36,Ariyalur,Tamil Nadu,333,248,19,5,18,17,72.5
2015-09-07,2015,9,37,Ariyalur,Tamil Nadu,333,268,26,12,7,26,79.2
2015-09-14,2015,9,38,Ariyalur,Tamil Nadu,333,274,19,5,18,13,84.2
2015-09-21,2015,9,39,Ariyalur,Tamil Nadu,333,259,16,11,18,18,77.6
2015-09-28,2015,9,40,Ariyalur,Tamil Nadu,333,247,17,10,9,13,79.8
2015-10-05,2015,10,41,Ariyalur,Tamil Nadu,333,296,80,8,17,25,90.1
2015-10-12,2015,10,42,Ariyalur,Tamil Nadu,333,325,90,8,12,12,90.9
2015-10-19,2015,10,43,Ariyalur,Tamil Nadu,333,271,64,3,9,16,82.3
2015-10-26,2015,10,44,Ariyalur,Tamil Nadu,333,278,57,13,8,10,90.0
2015-11-02,2015,11,45,Ariyalur,Tamil Nadu,333,324,65,10,11,14,98.5
2015-11-09,2015,11,46,Ariyalur,Tamil Nadu,333,356,92,8,16,15,100.0
2015-11-16,2015,11,47,Ariyalur,Tamil Nadu,333,285,63,7,7,13,81.9
2015-11-23,2015,11,48,Ariyalur,Tamil Nadu,333,278,59,5,8,11,85.1
2015-11-30,2015,11,49,Ariyalur,Tamil Nadu,333,315,82,6,10,17,100.0
2015-12-07,2015,12,50,Ariyalur,Tamil Nadu,333,334,85,4,18,63,100.0
2015-12-14,2015,12,51,Ariyalur,Tamil Nadu,333,331,80,3,7,65,100.0
2015-12-21,2015,12,52,Ariyalur,Tamil Nadu,333,322,84,6,9,50,100.0
2015-12-28,2015,12,53,Ariyalur,Tamil Nadu,333,284,50,12,9,44,90.4
2016-01-04,2016,1,1,Ariyalur,Tamil Nadu,333,296,10,10,9,37,86.8
2016-01-11,2016,1,2,Ariyalur,Tamil Nadu,333,313,8,10,16,38,89.8
2016-01-18,2016,1,3,Ariyalur,Tamil Nadu,333,263,12,10,14,54,84.2
2016-01-25,2016,1,4,Ariyalur,Tamil Nadu,333,254,19,13,10,36,78.9
2016-02-01,2016,2,5,Ariyalur,Tamil Nadu,333,260,18,12,13,15,81.9
2016-02-08,2016,2,6,Ariyalur,Tamil Nadu,333,256,18,9,11,12,76.3
2016-02-15,2016,2,7,Ariyalur,Tamil Nadu,333,239,19,8,15,20,76.9
2016-02-22,2016,2,8,Ariyalur,Tamil Nadu,333,239,7,13,18,19,73.4
2016-02-29,2016,2,9,Ariyalur,Tamil Nadu,333,239,16,5,17,25,70.5
2016-03-07,2016,3,10,Ariyalur,Tamil Nadu,333,256,23,11,13,17,75.6
2016-03-14,2016,3,11,Ariyalur,Tamil Nadu,333,202,14,3,17,10,65.2
2016-03-21,2016,3,12,Ariyalur,Tamil Nadu,333,246,8,13,17,19,79.4
2016-03-28,2016,3,13,Ariyalur,Tamil Nadu,333,277,24,3,17,21,90.1
2016-04-04,2016,4,14,Ariyalur,Tamil Nadu,333,276,7,51,14,19,82.5
2016-04-11,2016,4,15,Ariyalur,Tamil Nadu,333,324,21,49,8,19,91.9
2016-04-18,2016,4,16,Ariyalur,Tamil Nadu,333,302,13,47,10,26,87.5
2016-04-25,2016,4,17,Ariyalur,Tamil Nadu,333,260,23,29,10,14,82.3
2016-05-02,2016,5,18,Ariyalur,Tamil Nadu,333,293,11,30,16,13,87.9
2016-05-09,2016,5,19,Ariyalur,Tamil Nadu,333,237,17,28,9,22,77.1
2016-05-16,2016,5,20,Ariyalur,Tamil Nadu,333,278,16,53,12,12,89.5
2016-05-23,2016,5,21,Ariyalur,Tamil Nadu,333,260,8,27,13,18,74.7
2016-05-30,2016,5,22,Ariyalur,Tamil Nadu,333,273,18,30,15,26,83.5
2016-06-06,2016,6,23,Ariyalur,Tamil Nadu,333,287,11,12,31,17,81.6
2016-06-13,2016,6,24,Ariyalur,Tamil Nadu,333,250,12,5,35,20,76.9
2016-06-20,2016,6,25,Ariyalur,Tamil Nadu,333,276,17,4,49,14,84.1
2016-06-27,2016,6,26,Ariyalur,Tamil Nadu,333,287,18,6,44,25,90.3
2016-07-04,2016,7,27,Ariyalur,Tamil Nadu,333,241,12,7,42,11,78.0
2016-07-11,2016,7,28,Ariyalur,Tamil Nadu,333,281,24,8,42,21,87.3
2016-07-18,2016,7,29,Ariyalur,Tamil Nadu,333,277,10,11,49,14,88.6
2016-07-25,2016,7,30,Ariyalur,Tamil Nadu,333,270,24,10,37,25,86.2
2016-08-01,2016,8,31,Ariyalur,Tamil Nadu,333,279,15,11,9,25,82.2
2016-08-08,2016,8,32,Ariyalur,Tamil Nadu,333,271,10,11,15,21,81.0
2016-08-15,2016,8,33,Ariyalur,Tamil Nadu,333,228,14,9,9,22,70.2
2016-08-22,2016,8,34,Ariyalur,Tamil Nadu,333,255,16,6,13,15,77.6
2016-08-29,2016,8,35,Ariyalur,Tamil Nadu,333,278,19,8,13,21,87.7
2016-09-05,2016,9,36,Ariyalur,Tamil Nadu,333,269,16,3,14,16,81.7
2016-09-12,2016,9,37,Ariyalur,Tamil Nadu,333,248,20,9,16,22,75.3
2016-09-19,2016,9,38,Ariyalur,Tamil Nadu,333,251,16,7,10,20,70.4
2016-09-26,2016,9,39,Ariyalur,Tamil Nadu,333,231,11,8,10,16,71.1
