week_start_date,year,month,week_number,district,state,paracetamol_strips_sold,ors_packets_sold,antipyretic_tablets_sold,antidiarrheal_tablets_sold,cough_cold_tablets_sold
2015-01-05,2015,1,2,Ariyalur,Tamil Nadu,1756,423,898,298,1281
2015-01-12,2015,1,3,Ariyalur,Tamil Nadu,1356,447,1023,603,1408
2015-01-19,2015,1,4,Ariyalur,Tamil Nadu,1395,632,915,323,1013
2015-01-26,2015,1,5,Ariyalur,Tamil Nadu,1480,401,715,423,1027
2015-02-02,2015,2,6,Ariyalur,Tamil Nadu,1625,364,493,464,1594
2015-02-09,2015,2,7,Ariyalur,Tamil Nadu,907,739,875,505,1134
2015-02-16,2015,2,8,Ariyalur,Tamil Nadu,1597,646,1010,509,1470
2015-02-23,2015,2,9,Ariyalur,Tamil Nadu,1311,818,626,390,608
2015-03-02,2015,3,10,Ariyalur,Tamil Nadu,1890,605,466,526,933
2015-03-09,2015,3,11,Ariyalur,Tamil Nadu,1330,706,683,323,530
2015-03-16,2015,3,12,Ariyalur,Tamil Nadu,1077,350,794,356,685
2015-03-23,2015,3,13,Ariyalur,Tamil Nadu,1432,590,475,438,451
2015-03-30,2015,3,14,Ariyalur,Tamil Nadu,1601,280,859,355,479
2015-04-06,2015,4,15,Ariyalur,Tamil Nadu,2639,364,1086,311,488
2015-04-13,2015,4,16,Ariyalur,Tamil Nadu,2635,471,662,381,702
2015-04-20,2015,4,17,Ariyalur,Tamil Nadu,2551,700,1268,418,358
2015-04-27,2015,4,18,Ariyalur,Tamil Nadu,2434,587,832,263,361
2015-05-04,2015,5,19,Ariyalur,Tamil Nadu,1817,602,1392,444,677
2015-05-11,2015,5,20,Ariyalur,Tamil Nadu,2786,728,688,343,536
2015-05-18,2015,5,21,Ariyalur,Tamil Nadu,2081,343,830,318,330
2015-05-25,2015,5,22,Ariyalur,Tamil Nadu,2373,612,1046,525,571
2015-06-01,2015,6,23,Ariyalur,Tamil Nadu,863,1663,886,547,401
2015-06-08,2015,6,24,Ariyalur,Tamil Nadu,1241,861,542,856,342
2015-06-15,2015,6,25,Ariyalur,Tamil Nadu,1113,1748,910,1396,849
2015-06-22,2015,6,26,Ariyalur,Tamil Nadu,1385,1699,910,1299,742
2015-06-29,2015,6,27,Ariyalur,Tamil Nadu,1265,843,605,928,478
2015-07-06,2015,7,28,Ariyalur,Tamil Nadu,842,989,1031,565,761
2015-07-13,2015,7,29,Ariyalur,Tamil Nadu,1277,1561,525,1312,289
2015-07-20,2015,7,30,Ariyalur,Tamil Nadu,1631,1306,973,957,790
2015-07-27,2015,7,31,Ariyalur,Tamil Nadu,1931,791,815,1296,409
2015-08-03,2015,8,32,Ariyalur,Tamil Nadu,2009,594,565,450,408
2015-08-10,2015,8,33,Ariyalur,Tamil Nadu,1270,440,1032,243,323
2015-08-17,2015,8,34,Ariyalur,Tamil Nadu,1673,670,977,274,620
