week_start_date,year,month,week_number,district,state,dengue_diagnostic_kits,iv_fluids_units,paracetamol_strips,ors_packets,antibiotics_courses,dengue_rapid_test_kits
2015-01-05,2015,1,2,Ariyalur,Tamil Nadu,43,175,654,448,381,31
2015-01-12,2015,1,3,Ariyalur,Tamil Nadu,51,152,1027,238,347,28
2015-01-19,2015,1,4,Ariyalur,Tamil Nadu,22,179,669,534,535,13
2015-01-26,2015,1,5,Ariyalur,Tamil Nadu,28,149,781,338,615,16
2015-02-02,2015,2,6,Ariyalur,Tamil Nadu,62,228,1123,394,389,40
2015-02-09,2015,2,7,Ariyalur,Tamil Nadu,57,222,1040,455,187,29
2015-02-16,2015,2,8,Ariyalur,Tamil Nadu,56,188,784,382,271,40
2015-02-23,2015,2,9,Ariyalur,Tamil Nadu,37,187,1384,329,107,21
2015-03-02,2015,3,10,Ariyalur,Tamil Nadu,28,214,523,281,117,15
2015-03-09,2015,3,11,Ariyalur,Tamil Nadu,58,152,850,328,117,29
2015-03-16,2015,3,12,Ariyalur,Tamil Nadu,28,151,676,472,383,17
2015-03-23,2015,3,13,Ariyalur,Tamil Nadu,47,317,1167,498,126,36
2015-03-30,2015,3,14,Ariyalur,Tamil Nadu,52,222,1463,456,231,26
2015-04-06,2015,4,15,Ariyalur,Tamil Nadu,51,332,762,348,196,31
2015-04-13,2015,4,16,Ariyalur,Tamil Nadu,48,554,888,314,154,33
2015-04-20,2015,4,17,Ariyalur,Tamil Nadu,46,433,624,412,297,23
2015-04-27,2015,4,18,Ariyalur,Tamil Nadu,29,371,1059,191,383,20
2015-05-04,2015,5,19,Ariyalur,Tamil Nadu,42,421,1204,530,306,28
2015-05-11,2015,5,20,Ariyalur,Tamil Nadu,20,359,896,211,211,13
2015-05-18,2015,5,21,Ariyalur,Tamil Nadu,38,343,692,316,172,28
2015-05-25,2015,5,22,Ariyalur,Tamil Nadu,21,583,1396,288,204,13
2015-06-01,2015,6,23,Ariyalur,Tamil Nadu,24,138,853,1088,372,14
2015-06-08,2015,6,24,Ariyalur,Tamil Nadu,62,196,454,759,119,41
2015-06-15,2015,6,25,Ariyalur,Tamil Nadu,21,128,1246,695,179,13
2015-06-22,2015,6,26,Ariyalur,Tamil Nadu,55,154,639,936,315,32
2015-06-29,2015,6,27,Ariyalur,Tamil Nadu,45,139,1161,603,282,23
2015-07-06,2015,7,28,Ariyalur,Tamil Nadu,25,233,510,434,260,14
2015-07-13,2015,7,29,Ariyalur,Tamil Nadu,20,265,1142,477,159,13
2015-07-20,2015,7,30,Ariyalur,Tamil Nadu,30,165,563,315,110,22
2015-07-27,2015,7,31,Ariyalur,Tamil Nadu,50,114,1082,227,375,35
2015-08-03,2015,8,32,Ariyalur,Tamil Nadu,49,179,1102,507,398,27
2015-08-10,2015,8,33,Ariyalur,Tamil Nadu,56,242,547,330,279,27
2015-08-17,2015,8,34,Ariyalur,Tamil Nadu,24,201,1542,328,315,19
2015-08-24,2015,8,35,Ariyalur,Tamil Nadu,55,114,1533,318,313,34
2015-08-31,2015,8,36,Ariyalur,Tamil Nadu,43,149,1056,237,105,26
2015-09-07,2015,9,37,Ariyalur,Tamil Nadu,42,118,864,313,383,33
2015-09-14,2015,9,38,Ariyalur,Tamil Nadu,35,165,669,420,224,22
2015-09-21,2015,9,39,Ariyalur,Tamil Nadu,25,98,1021,448,179,15
2015-09-28,2015,9,40,Ariyalur,Tamil Nadu,27,186,666,525,150,12
2015-10-05,2015,10,41,Ariyalur,Tamil Nadu,212,745,1697,355,241,109
2015-10-12,2015,10,42,Ariyalur,Tamil Nadu,107,649,1286,429,266,82
2015-10-19,2015,10,43,Ariyalur,Tamil Nadu,62,514,1665,290,286,35
2015-10-26,2015,10,44,Ariyalur,Tamil Nadu,213,507,2393,223,174,136
2015-11-02,2015,11,45,Ariyalur,Tamil Nadu,163,368,1939,337,138,100
2015-11-09,2015,11,46,Ariyalur,Tamil Nadu,68,635,618,284,149,43
2015-11-16,2015,11,47,Ariyalur,Tamil Nadu,91,196,875,468,307,71
2015-11-23,2015,11,48,Ariyalur,Tamil Nadu,243,919,1403,568,331,127
2015-11-30,2015,11,49,Ariyalur,Tamil Nadu,126,608,1811,465,270,73
2015-12-07,2015,12,50,Ariyalur,Tamil Nadu,61,738,704,348,639,41
2015-12-14,2015,12,51,Ariyalur,Tamil Nadu,176,250,1735,452,449,125
2015-12-21,2015,12,52,Ariyalur,Tamil Nadu,145,678,840,330,397,113
2015-12-28,2015,12,53,Ariyalur,Tamil Nadu,87,279,1689,290,667,42
2016-01-04,2016,1,1,Ariyalur,Tamil Nadu,25,151,798,323,231,12
2016-01-11,2016,1,2,Ariyalur,Tamil Nadu,28,242,974,549,700,18
2016-01-18,2016,1,3,Ariyalur,Tamil Nadu,26,247,1207,580,362,17
2016-01-25,2016,1,4,Ariyalur,Tamil Nadu,30,187,1378,351,403,22
2016-02-01,2016,2,5,Ariyalur,Tamil Nadu,37,151,610,236,157,24
2016-02-08,2016,2,6,Ariyalur,Tamil Nadu,60,270,593,449,122,35
2016-02-15,2016,2,7,Ariyalur,Tamil Nadu,26,98,618,566,435,17
2016-02-22,2016,2,8,Ariyalur,Tamil Nadu,35,292,1298,465,123,24
2016-02-29,2016,2,9,Ariyalur,Tamil Nadu,41,171,839,481,392,24
2016-03-07,2016,3,10,Ariyalur,Tamil Nadu,25,225,1184,345,148,18
2016-03-14,2016,3,11,Ariyalur,Tamil Nadu,30,308,557,465,125,19
2016-03-21,2016,3,12,Ariyalur,Tamil Nadu,44,235,1366,534,155,24
2016-03-28,2016,3,13,Ariyalur,Tamil Nadu,40,138,904,247,299,30
2016-04-04,2016,4,14,Ariyalur,Tamil Nadu,33,494,1225,561,144,21
2016-04-11,2016,4,15,Ariyalur,Tamil Nadu,30,509,1462,449,375,18
2016-04-18,2016,4,16,Ariyalur,Tamil Nadu,38,405,1073,234,249,22
2016-04-25,2016,4,17,Ariyalur,Tamil Nadu,28,521,962,343,260,18
2016-05-02,2016,5,18,Ariyalur,Tamil Nadu,62,260,793,423,428,31
2016-05-09,2016,5,19,Ariyalur,Tamil Nadu,21,399,575,606,249,14
2016-05-16,2016,5,20,Ariyalur,Tamil Nadu,27,296,1107,290,179,17
2016-05-23,2016,5,21,Ariyalur,Tamil Nadu,62,308,806,445,363,28
2016-05-30,2016,5,22,Ariyalur,Tamil Nadu,48,268,998,534,113,28
2016-06-06,2016,6,23,Ariyalur,Tamil Nadu,19,122,716,611,307,11
2016-06-13,2016,6,24,Ariyalur,Tamil Nadu,23,194,1388,651,145,16
2016-06-20,2016,6,25,Ariyalur,Tamil Nadu,22,216,948,1745,195,13
2016-06-27,2016,6,26,Ariyalur,Tamil Nadu,52,216,897,826,228,36
2016-07-04,2016,7,27,Ariyalur,Tamil Nadu,28,285,1451,534,302,16
2016-07-11,2016,7,28,Ariyalur,Tamil Nadu,44,165,794,592,361,24
2016-07-18,2016,7,29,Ariyalur,Tamil Nadu,26,109,634,431,113,13
2016-07-25,2016,7,30,Ariyalur,Tamil Nadu,56,211,779,501,143,28
2016-08-01,2016,8,31,Ariyalur,Tamil Nadu,55,264,912,376,237,25
2016-08-08,2016,8,32,Ariyalur,Tamil Nadu,52,232,826,334,234,30
2016-08-15,2016,8,33,Ariyalur,Tamil Nadu,46,217,840,398,297,31
2016-08-22,2016,8,34,Ariyalur,Tamil Nadu,50,192,699,248,210,35
2016-08-29,2016,8,35,Ariyalur,Tamil Nadu,47,256,1307,618,308,31
2016-09-05,2016,9,36,Ariyalur,Tamil Nadu,32,304,589,342,100,21
2016-09-12,2016,9,37,Ariyalur,Tamil Nadu,61,211,1381,522,373,30
2016-09-19,2016,9,38,Ariyalur,Tamil Nadu,39,262,628,256,272,22
2016-09-26,2016,9,39,Ariyalur,Tamil Nadu,28,283,1003,300,243,17
2016-10-03,2016,10,40,Ariyalur,Tamil Nadu,109,285,1733,574,382,58
2016-10-10,2016,10,41,Ariyalur,Tamil Nadu,88,415,2591,497,184,63
2016-10-17,2016,10,42,Ariyalur,Tamil Nadu,76,769,816,331,289,58
2016-10-24,2016,10,43,Ariyalur,Tamil Nadu,164,429,2277,415,410,124
2016-10-31,2016,10,44,Ariyalur,Tamil Nadu,135,482,2630,249,194,92
2016-11-07,2016,11,45,Ariyalur,Tamil Nadu,116,365,2701,362,133,72
2016-11-14,2016,11,46,Ariyalur,Tamil Nadu,107,425,2140,549,148,68
2016-11-21,2016,11,47,Ariyalur,Tamil Nadu,186,794,1330,258,385,91
2016-11-28,2016,11,48,Ariyalur,Tamil Nadu,243,400,1745,191,263,123
2016-12-05,2016,12,49,Ariyalur,Tamil Nadu,127,256,2004,346,674,73
2016-12-12,2016,12,50,Ariyalur,Tamil Nadu,156,658,2060,274,261,128
2016-12-19,2016,12,51,Ariyalur,Tamil Nadu,81,712,893,254,304,50
2016-12-26,2016,12,52,Ariyalur,Tamil Nadu,70,406,1559,202,677,41
2017-01-02,2017,1,1,Ariyalur,Tamil Nadu,48,205,1123,274,710,31
2017-01-09,2017,1,2,Ariyalur,Tamil Nadu,43,178,1286,397,734,23
2017-01-16,2017,1,3,Ariyalur,Tamil Nadu,57,200,1122,495,369,36
2017-01-23,2017,1,4,Ariyalur,Tamil Nadu,65,158,895,437,800,30
2017-01-30,2017,1,5,Ariyalur,Tamil Nadu,28,193,548,286,311,13
2017-02-06,2017,2,6,Ariyalur,Tamil Nadu,44,172,850,385,148,28
2017-02-13,2017,2,7,Ariyalur,Tamil Nadu,49,152,578,413,381,30
2017-02-20,2017,2,8,Ariyalur,Tamil Nadu,48,250,1062,198,129,28
2017-02-27,2017,2,9,Ariyalur,Tamil Nadu,41,201,669,534,418,29
2017-03-06,2017,3,10,Ariyalur,Tamil Nadu,24,221,983,453,177,14
2017-03-13,2017,3,11,Ariyalur,Tamil Nadu,41,175,1049,234,150,20
2017-03-20,2017,3,12,Ariyalur,Tamil Nadu,53,128,1401,204,368,32
2017-03-27,2017,3,13,Ariyalur,Tamil Nadu,49,257,763,223,381,24
2017-04-03,2017,4,14,Ariyalur,Tamil Nadu,50,531,1318,577,320,27
2017-04-10,2017,4,15,Ariyalur,Tamil Nadu,38,346,936,317,181,19
2017-04-17,2017,4,16,Ariyalur,Tamil Nadu,32,353,1205,448,106,23
2017-04-24,2017,4,17,Ariyalur,Tamil Nadu,39,256,1159,436,356,24
2017-05-01,2017,5,18,Ariyalur,Tamil Nadu,23,386,1400,428,351,16
