date,year,month,week_number,day_of_year,district,state,min_temperature_c
2015-01-01,2015,1,1,1,Chennai,Tamil Nadu,22.25
2015-01-01,2015,1,1,1,Coimbatore,Tamil Nadu,17.81
2015-01-01,2015,1,1,1,Madurai,Tamil Nadu,22.06
2015-01-01,2015,1,1,1,Salem,Tamil Nadu,22.29
2015-01-01,2015,1,1,1,Trichy,Tamil Nadu,22.76
2015-01-01,2015,1,1,1,Tirunelveli,Tamil Nadu,23.8
2015-01-01,2015,1,1,1,Erode,Tamil Nadu,18.86
2015-01-01,2015,1,1,1,Vellore,Tamil Nadu,22.09
2015-01-01,2015,1,1,1,Thoothukudi,Tamil Nadu,23.85
2015-01-01,2015,1,1,1,Thanjavur,Tamil Nadu,23.55
2015-01-01,2015,1,1,1,Dindigul,Tamil Nadu,19.84
2015-01-01,2015,1,1,1,Kanyakumari,Tamil Nadu,23.8
2015-01-01,2015,1,1,1,Namakkal,Tamil Nadu,22.29
2015-01-01,2015,1,1,1,Karur,Tamil Nadu,22.76
2015-01-01,2015,1,1,1,Cuddalore,Tamil Nadu,23.52
2015-01-01,2015,1,1,1,Nagapattinam,Tamil Nadu,23.55
2015-01-01,2015,1,1,1,Virudhunagar,Tamil Nadu,22.52
2015-01-01,2015,1,1,1,Sivagangai,Tamil Nadu,22.06
2015-01-01,2015,1,1,1,Ramanathapuram,Tamil Nadu,22.06
2015-01-01,2015,1,1,1,Tiruppur,Tamil Nadu,18.86
2015-01-02,2015,1,1,2,Chennai,Tamil Nadu,22.55
2015-01-02,2015,1,1,2,Coimbatore,Tamil Nadu,16.49
2015-01-02,2015,1,1,2,Madurai,Tamil Nadu,20.93
2015-01-02,2015,1,1,2,Salem,Tamil Nadu,22.05
2015-01-02,2015,1,1,2,Trichy,Tamil Nadu,22.54
2015-01-02,2015,1,1,2,Tirunelveli,Tamil Nadu,22.16
2015-01-02,2015,1,1,2,Erode,Tamil Nadu,17.78
2015-01-02,2015,1,1,2,Vellore,Tamil Nadu,21.76
2015-01-02,2015,1,1,2,Thoothukudi,Tamil Nadu,22.46
2015-01-02,2015,1,1,2,Thanjavur,Tamil Nadu,23.45
2015-01-02,2015,1,1,2,Dindigul,Tamil Nadu,18.97
2015-01-02,2015,1,1,2,Kanyakumari,Tamil Nadu,22.16
2015-01-02,2015,1,1,2,Namakkal,Tamil Nadu,22.05
2015-01-02,2015,1,1,2,Karur,Tamil Nadu,22.54
2015-01-02,2015,1,1,2,Cuddalore,Tamil Nadu,23.64
2015-01-02,2015,1,1,2,Nagapattinam,Tamil Nadu,23.45
2015-01-02,2015,1,1,2,Virudhunagar,Tamil Nadu,21.02
2015-01-02,2015,1,1,2,Sivagangai,Tamil Nadu,20.93
2015-01-02,2015,1,1,2,Ramanathapuram,Tamil Nadu,20.93
2015-01-02,2015,1,1,2,Tiruppur,Tamil Nadu,17.78
2015-01-03,2015,1,1,3,Chennai,Tamil Nadu,22.83
2015-01-03,2015,1,1,3,Coimbatore,Tamil Nadu,16.43
2015-01-03,2015,1,1,3,Madurai,Tamil Nadu,20.93
2015-01-03,2015,1,1,3,Salem,Tamil Nadu,21.98
2015-01-03,2015,1,1,3,Trichy,Tamil Nadu,22.36
2015-01-03,2015,1,1,3,Tirunelveli,Tamil Nadu,21.94
2015-01-03,2015,1,1,3,Erode,Tamil Nadu,17.69
2015-01-03,2015,1,1,3,Vellore,Tamil Nadu,22.3
2015-01-03,2015,1,1,3,Thoothukudi,Tamil Nadu,22.48
2015-01-03,2015,1,1,3,Thanjavur,Tamil Nadu,23.31
2015-01-03,2015,1,1,3,Dindigul,Tamil Nadu,18.53
2015-01-03,2015,1,1,3,Kanyakumari,Tamil Nadu,21.94
2015-01-03,2015,1,1,3,Namakkal,Tamil Nadu,21.98
2015-01-03,2015,1,1,3,Karur,Tamil Nadu,22.36
2015-01-03,2015,1,1,3,Cuddalore,Tamil Nadu,23.41
2015-01-03,2015,1,1,3,Nagapattinam,Tamil Nadu,23.31
2015-01-03,2015,1,1,3,Virudhunagar,Tamil Nadu,20.69
2015-01-03,2015,1,1,3,Sivagangai,Tamil Nadu,20.93
2015-01-03,2015,1,1,3,Ramanathapuram,Tamil Nadu,20.93
2015-01-03,2015,1,1,3,Tiruppur,Tamil Nadu,17.69
2015-01-04,2015,1,1,4,Chennai,Tamil Nadu,22.66
2015-01-04,2015,1,1,4,Coimbatore,Tamil Nadu,16.18
2015-01-04,2015,1,1,4,Madurai,Tamil Nadu,21.41
2015-01-04,2015,1,1,4,Salem,Tamil Nadu,22.3
2015-01-04,2015,1,1,4,Trichy,Tamil Nadu,22.39
2015-01-04,2015,1,1,4,Tirunelveli,Tamil Nadu,22.55
2015-01-04,2015,1,1,4,Erode,Tamil Nadu,17.53
2015-01-04,2015,1,1,4,Vellore,Tamil Nadu,22.0
2015-01-04,2015,1,1,4,Thoothukudi,Tamil Nadu,23.04
2015-01-04,2015,1,1,4,Thanjavur,Tamil Nadu,23.38
2015-01-04,2015,1,1,4,Dindigul,Tamil Nadu,18.7
2015-01-04,2015,1,1,4,Kanyakumari,Tamil Nadu,22.55
