unique_id,state,district,disease,no_of_cases,no_of_deaths,outbreak_start_date,reporting_date,current_status,week_number,year,week_date_range
TN/2015/1/0001,Tamil Nadu,Kanchipuram,Dengue,16,0,01-01-2015,07-01-2015,Closed,1,2015,Week 1 of 2015
TN/2015/1/0002,Tamil Nadu,Tiruppur,Fever,53,0,01-01-2015,07-01-2015,Under Surveillance,1,2015,Week 1 of 2015
TN/2015/1/0003,Tamil Nadu,Sivaganga,Dengue,18,0,01-01-2015,07-01-2015,Under Surveillance,1,2015,Week 1 of 2015
TN/2015/1/0004,Tamil Nadu,Tuticorin,Dengue,7,0,01-01-2015,07-01-2015,Under Control,1,2015,Week 1 of 2015
TN/2015/1/0005,Tamil Nadu,Tuticorin,Fever,56,0,01-01-2015,07-01-2015,Closed,1,2015,Week 1 of 2015
TN/2015/1/0006,Tamil Nadu,Pudukkottai,Dengue,9,0,01-01-2015,07-01-2015,Closed,1,2015,Week 1 of 2015
TN/2015/2/0007,Tamil Nadu,Tiruppur,Dengue,4,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0008,Tamil Nadu,Tiruppur,Scrub Typhus,6,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0009,Tamil Nadu,Tiruppur,Fever,56,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0010,Tamil Nadu,Chennai,Dengue,19,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0011,Tamil Nadu,Chennai,Fever,57,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0012,Tamil Nadu,Tirunelveli,Dengue,10,0,01-01-2015,07-01-2015,Closed,2,2015,Week 2 of 2015
TN/2015/2/0013,Tamil Nadu,Tirunelveli,Scrub Typhus,6,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0014,Tamil Nadu,Tirunelveli,Acute Gastroenteritis,13,0,01-01-2015,07-01-2015,Closed,2,2015,Week 2 of 2015
TN/2015/2/0015,Tamil Nadu,Tirunelveli,Fever,47,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0016,Tamil Nadu,Ramanathapuram,Acute Gastroenteritis,10,0,01-01-2015,07-01-2015,Closed,2,2015,Week 2 of 2015
TN/2015/2/0017,Tamil Nadu,Mayiladuthurai,Dengue,10,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0018,Tamil Nadu,Mayiladuthurai,Acute Gastroenteritis,9,0,01-01-2015,07-01-2015,Under Surveillance,2,2015,Week 2 of 2015
TN/2015/2/0019,Tamil Nadu,Tenkasi,Dengue,12,0,01-01-2015,07-01-2015,Under Control,2,2015,Week 2 of 2015
TN/2015/2/0020,Tamil Nadu,Nagapattinam,Fever,50,0,01-01-2015,07-01-2015,Closed,2,2015,Week 2 of 2015
TN/2015/3/0021,Tamil Nadu,Ranipet,Fever,60,0,01-01-2015,07-01-2015,Closed,3,2015,Week 3 of 2015
TN/2015/3/0022,Tamil Nadu,Thiruvallur,Scrub Typhus,4,0,01-01-2015,07-01-2015,Closed,3,2015,Week 3 of 2015
TN/2015/3/0023,Tamil Nadu,Tirunelveli,Dengue,7,0,01-01-2015,07-01-2015,Under Control,3,2015,Week 3 of 2015
TN/2015/3/0024,Tamil Nadu,Tirunelveli,Scrub Typhus,3,0,01-01-2015,07-01-2015,Under Control,3,2015,Week 3 of 2015
TN/2015/3/0025,Tamil Nadu,Tirunelveli,Fever,64,0,01-01-2015,07-01-2015,Under Surveillance,3,2015,Week 3 of 2015
TN/2015/3/0026,Tamil Nadu,Kanchipuram,Acute Gastroenteritis,5,0,01-01-2015,07-01-2015,Closed,3,2015,Week 3 of 2015
TN/2015/3/0027,Tamil Nadu,Kanchipuram,Fever,66,0,01-01-2015,07-01-2015,Closed,3,2015,Week 3 of 2015
TN/2015/3/0028,Tamil Nadu,Madurai,Acute Gastroenteritis,11,0,01-01-2015,07-01-2015,Closed,3,2015,Week 3 of 2015
TN/2015/3/0029,Tamil Nadu,Perambalur,Dengue,14,0,01-01-2015,07-01-2015,Under Surveillance,3,2015,Week 3 of 2015
TN/2015/3/0030,Tamil Nadu,Perambalur,Scrub Typhus,8,1,01-01-2015,07-01-2015,Closed,3,2015,Week 3 of 2015
TN/2015/3/0031,Tamil Nadu,Perambalur,Acute Gastroenteritis,14,0,01-01-2015,07-01-2015,Under Surveillance,3,2015,Week 3 of 2015
TN/2015/3/0032,Tamil Nadu,Perambalur,Fever,71,0,01-01-2015,07-01-2015,Under Surveillance,3,2015,Week 3 of 2015
TN/2015/3/0033,Tamil Nadu,Tuticorin,Acute Gastroenteritis,13,0,01-01-2015,07-01-2015,Under Surveillance,3,2015,Week 3 of 2015
TN/2015/3/0034,Tamil Nadu,Tuticorin,Fever,43,0,01-01-2015,07-01-2015,Under Surveillance,3,2015,Week 3 of 2015
TN/2015/4/0035,Tamil Nadu,Salem,Fever,55,0,01-01-2015,07-01-2015,Closed,4,2015,Week 4 of 2015
TN/2015/4/0036,Tamil Nadu,Thanjavur,Dengue,7,0,01-01-2015,07-01-2015,Under Control,4,2015,Week 4 of 2015
